cytokine,estimate,std_error,ci_lower,ci_upper,p_value,n_obs,n_participants,p_adjusted
TNFa,0.3484462906732578,0.17377023559950014,0.00786288731319762,0.6890296940333179,0.055880755233408665,108,27,0.3320743668696062
IFNg,0.226589324146394,0.12548424251713045,-0.019355271814471414,0.47253392010725936,0.08301859171740154,108,27,0.3320743668696062
IL-1b,0.3823600300332208,0.26093405751341353,-0.12906132503297268,0.8937813850994143,0.14587112133777472,108,27,0.38898965690073256
IL-1a,0.07009258345278502,0.282083118084327,-0.482780168639255,0.622965335544825,0.8057913348693944,108,27,0.8057913348693944
IL-6,-0.06907882685507982,0.20987043992429863,-0.4804173305262821,0.34225967681612246,0.7447840632253067,108,27,0.8057913348693944
MIG,0.18998804280986306,0.29657344292255616,-0.39128522408939226,0.7712613097091183,0.5276046428532908,108,27,0.8057913348693944
IP-10,-0.2033969008360496,0.24679635857720136,-0.687108875162997,0.2803150734908978,0.41175944087090344,108,27,0.8057913348693944
MIP-3a,-0.07795639027540535,0.1617089129197443,-0.3949000355772279,0.2389872550264172,0.6307730030076016,108,27,0.8057913348693944
